timestamp,sumOpenInterest,sumOpenInterestValue
2025-06-23 07:00:00,77513.37000000,7897449702.45000000
2025-06-23 08:00:00,77563.04900000,7901689079.04560000
2025-06-23 09:00:00,77985.04300000,7941156912.70091800
2025-06-23 10:00:00,77799.67000000,7898434967.04335800
2025-06-23 11:00:00,77930.77400000,7903855995.24100000
2025-06-23 12:00:00,77850.36000000,7882844257.96589600
2025-06-23 13:00:00,77567.53700000,7884127352.50770000
2025-06-23 14:00:00,77655.28100000,7944429248.06864100
2025-06-23 15:00:00,78295.05900000,7954643541.35886500
2025-06-23 16:00:00,78244.08900000,7931931927.10380000
2025-06-23 17:00:00,77314.28700000,7781995346.63423300
2025-06-23 18:00:00,76588.41000000,7845991634.77494500
2025-06-23 19:00:00,75278.14700000,7745217481.49928900
2025-06-23 20:00:00,75237.37300000,7758026479.52200000
2025-06-23 21:00:00,73737.63300000,7645597084.05450000
2025-06-23 22:00:00,73435.30600000,7610849800.90120000
2025-06-23 23:00:00,72774.07000000,7678231398.36558300
2025-06-24 00:00:00,72609.46600000,7645337021.35530800
2025-06-24 01:00:00,72782.03300000,7648408773.84239100
2025-06-24 02:00:00,73026.02500000,7696263892.96750000
2025-06-24 03:00:00,73283.10000000,7674345469.89000000
2025-06-24 04:00:00,73423.72600000,7700769279.06002200
2025-06-24 05:00:00,73319.73000000,7682460419.01890800
2025-06-24 06:00:00,73391.82900000,7732090858.92968500
2025-06-24 07:00:00,74077.08300000,7823051096.67270000
2025-06-24 08:00:00,74261.57900000,7790849088.31110000
2025-06-24 09:00:00,73512.07700000,7715732036.21990000
2025-06-24 10:00:00,73252.04500000,7702632700.99359800
2025-06-24 11:00:00,73475.73500000,7731462172.65450000
2025-06-24 12:00:00,73660.01000000,7744208321.34500000
2025-06-24 13:00:00,73998.06300000,7781754380.78628700
2025-06-24 14:00:00,74493.84100000,7824080670.84590000
2025-06-24 15:00:00,75129.20700000,7922795601.70920000
2025-06-24 16:00:00,74665.95000000,7853531116.87040100
2025-06-24 17:00:00,74335.20000000,7891735260.64334200
2025-06-24 18:00:00,74981.73200000,7947433745.45120000
2025-06-24 19:00:00,75003.48200000,7911059767.08380000
2025-06-24 20:00:00,74924.32900000,7912296905.03012300
2025-06-24 21:00:00,74725.98200000,7922901210.12653000
2025-06-24 22:00:00,74972.66700000,7942357028.06819200
2025-06-24 23:00:00,75333.09200000,7983065624.91970000
2025-06-25 00:00:00,75448.89900000,8000224005.46500000
2025-06-25 01:00:00,76067.31900000,8089575587.91192600
2025-06-25 02:00:00,76301.79200000,8112948268.16320000
2025-06-25 03:00:00,75907.23600000,8078424156.49757100
2025-06-25 04:00:00,76087.51600000,8079194762.81773800
2025-06-25 05:00:00,76178.80300000,8085889373.45595300
2025-06-25 06:00:00,76271.97400000,8097017505.44520000
2025-06-25 07:00:00,76273.58000000,8111885916.95000000
2025-06-25 08:00:00,76229.09900000,8122688977.18059100
2025-06-25 09:00:00,76458.25000000,8150441804.17500000
2025-06-25 10:00:00,76941.66200000,8201196364.24760000
2025-06-25 11:00:00,77069.33300000,8251713294.17710000
2025-06-25 12:00:00,76907.12300000,8239544601.86490000
2025-06-25 13:00:00,76866.76800000,8239074737.47970400
2025-06-25 14:00:00,76965.72000000,8302307609.54400000
2025-06-25 15:00:00,77185.03400000,8301644050.37340000
2025-06-25 16:00:00,76528.02600000,8187285595.68095100
2025-06-25 17:00:00,76435.63900000,8185379122.05086600
2025-06-25 18:00:00,76348.57800000,8196981743.28725900
2025-06-25 19:00:00,76552.08500000,8218356258.09400000
2025-06-25 20:00:00,76978.73700000,8290371340.81530000
2025-06-25 21:00:00,77236.51500000,8320110487.08750000
2025-06-25 22:00:00,76856.49200000,8263531587.23270400
2025-06-25 23:00:00,76586.67900000,8212530188.99345500
2025-06-26 00:00:00,76626.17900000,8220723524.24350200
2025-06-26 01:00:00,76853.93700000,8244037282.65930000
2025-06-26 02:00:00,77007.47700000,8284690717.37555900
2025-06-26 03:00:00,77013.35800000,8308047034.32400000
2025-06-26 04:00:00,77061.98400000,8308006257.84960000
2025-06-26 05:00:00,77070.11200000,8307783364.85871500
2025-06-26 06:00:00,77052.46000000,8289927771.72600000
2025-06-26 07:00:00,77067.20500000,8301586812.70622500
2025-06-26 08:00:00,76925.71600000,8290176717.31760000
2025-06-26 09:00:00,77184.33700000,8312467512.85310000
2025-06-26 10:00:00,78928.07200000,8466077572.55040000
2025-06-26 11:00:00,79032.19100000,8482495103.39329100
2025-06-26 12:00:00,78738.89200000,8446662918.97376200
2025-06-26 13:00:00,78472.11000000,8401216249.38900000
2025-06-26 14:00:00,78395.32100000,8382384025.21368200
2025-06-26 15:00:00,78025.87600000,8379210475.50388900
2025-06-26 16:00:00,77862.91000000,8351567940.30900000
2025-06-26 17:00:00,77870.00400000,8343521744.58720000
2025-06-26 18:00:00,78060.66400000,8363486819.35349600
2025-06-26 19:00:00,77921.02600000,8364492669.54573800
2025-06-26 20:00:00,78155.75500000,8399781953.04950000
2025-06-26 21:00:00,78084.63300000,8411877918.43410000
2025-06-26 22:00:00,77712.52200000,8313244584.71633100
2025-06-26 23:00:00,77757.69400000,8315485554.05400000
2025-06-27 00:00:00,77712.99800000,8307817984.64086000
2025-06-27 01:00:00,77546.50900000,8268311220.96510000
2025-06-27 02:00:00,77402.96300000,8287504287.22480000
2025-06-27 03:00:00,77503.68000000,8308221357.83367000
2025-06-27 04:00:00,77684.80100000,8345530570.30810000
2025-06-27 05:00:00,77639.11900000,8342579545.64270000
2025-06-27 06:00:00,77691.29200000,8330132238.28678000
